id;name;mcc;postal_code;website
1;whitewash exotic;till amidst spirit;5705;splash hm qua
2;bitterly;although certainly;4775;who exactly
3;trim;commodity resolve ugh;29728;oof after
4;smarten sans;mainstream for reclassify;29040;gee terribly graffiti
5;fooey now tarry;overstay cornet until;5615;diligently yowza
6;indeed bump mainstream;zowie;28538;intermarry striking rebound
7;worriedly;account hunt;29013;whoever bliss
8;violent meh effector;minor plan;8512;spark although sit
9;quaff tinderbox redact;lawful snarling;19273;outdo blend
10;napkin decision loftily;but nerve;24187;why obedient regarding
